,study_id,sample_n_total,sample_n_adhd,sample_adhd_female,sample_adhd_age_mean,sample_adhd_age_sd,sample_control_female,sample_control_age_mean,sample_control_age_sd,missing_values_age,group_level_matching,control_method_age,statistical_control_age,stimulant_handling_procedure,stimulant_handling,other_medication_clinical_group,no_other_medication,control_method_medication,statistical_control_medication,clinical/trait_group,included/permitted_comorbidities,adhd_symptom_scales,rating,relationship_investigated
13,Hale_2014,193,90,0.49,44.0,5.7,0.485,44.6,6.0,,1,Yes: Systematically entered age as a continuous covariate in all asymmetry and cognitive GLMs.,1,Active (On-Meds): 5 ADHD subjects took their regular stimulant medication during testing (no washout).,0,Active non-stimulants: 5 ADHD subjects took active medications for depressive symptoms (SSRIs).,0,Covariated: Included medication status as a covariate in univariate models (reporting medication-adjusted p-values).,1.0,clinical,Anxiety disorders (n = 27) and mood disorders (n = 13) formally diagnosed in the current/lifetime remitted ADHD parents,"SADS-LAR, KSADS-PL ",B,0
14,Jang_2020,81,40,0.825,21.35,1.87,0.7317,21.58,2.13,,1,None: Relied on age matching at the post-secondary level; no statistical covariates used.,0,Unmedicated: Dimensional college sample recruited based on ADHD-trait scores; no stimulant use.,1,None: Participants reported no ongoing psychiatric treatments.,1,None: Bypassed medication confounds by utilizing a drug-free dimensional student cohort.,,ADHD-traits,None (non-clinical ADHD-trait college students),"ASRS, CAARS; SCID-NP (to exclude history of psychiatrric or neurological disorders)",B,1
15,Kakuszi_2016,62,33,0.242,31.6,12.1,0.276,32.9,12.8,,1,Yes: Entered age and gender as statistical covariates in both HLM and Quantile Regression models.,1,Washout: 11 patients (33.3%) received methylphenidate; underwent a 24-hour washout.,1,Active non-stimulants: 7 patients (21.2%) received antidepressants; 3 (9.0%) received both.,0,"Covariated: Added a dichotomous medication status covariate (0=unmedicated, 1=medicated) to the HLM; non-significant.",1.0,clinical,"30.3% (n=10/33) with mood disorders, anxiety disorders, and cannabis abuse",CAARS long version; ASRS; SCL-90R (to meassure general domains of psychopathology),B,1
16,Kakuszi_2020,86,45,0.289,30.4,10.9,0.244,31.3,11.4,,1,Yes: Modeled age explicitly as both a linear and quadratic (nonlinear) continuous regressor in HLM and rANCOVA.,1,Washout: 23 patients (51.1%) received stimulant medication; underwent a 24-hour washout.,1,Active non-stimulants: Affective comorbidities present (22.2%); some took antidepressants (not stopped).,0,Covariated: Introduced a dichotomous medication status covariate (yes/no) in HLM models; confirmed as non-significant.,1.0,clinical,"History of depression (n=8), dysthymia (n=1), bipolar disorder (n=1), OCD (n=1), cannabis use (n=1)",CAARS long version; ASRS; SCL-90R (to meassure general domains of psychopathology),B,0
17,Kim_2014,55,30,0.53,,,0.56,,,n/a age range 19-35,0,None: Groups did not differ on age; no statistical covariates used in ERP models.,0,Unmedicated: Inclusion required registration with Disability Services; current stimulant use was an exclusion criterion.,1,None: Exclusion criteria included current use of any sedating or mood-altering medications.,1,Exclusion: Strict exclusion of all psychoactive medication to isolate pure working memory deficits.,,clinical,Comorbid learning disabilities (n=4),"ASRS, Symptom Assessment-45, Cognitive Failure Questionnaire (CFQ)",C,0
18,Kim_2016,57,29,0.7585999999999999,21.48,2.15,0.6786,21.61,2.08,,1,None: Bypassed statistical control through a highly homogeneous college student sample.,0,Unmedicated: Dimensional college sample recruited based on ADHD-trait scores; no stimulant use.,1,None: All participants were free of psychoactive medication treatments.,1,"None: Bypassed pharmacological confounds by targeting a healthy, unmedicated student population.",,ADHD-traits,None (non-clinical ADHD-trait college students),"ASRS, CAARS long version; SCID-NP (no history of psychiatric medical or neurobiological disorder) ",B,0
19,Koechel_2012,30,15,0.0,26.67,3.44,0.0,25.73,3.24,,1,None: Statistical control was omitted due to excellent baseline group-level matching,0,Treatment-Naïve: Recruited medication-free adults; active psychopharmacological therapy led to exclusio,1,None: Excluded any participant taking active somatic or psychotropic medication,1,Exclusion: Complete exclusion of medication was verified through diagnostic screening interviews,,clinical,None (pure ADHD cohort),"German version of the Wender Utah Rating Scale (WURS-k), ADHD questionnaire for adults (ADHS-SB), and the Wender–Reimherr-Interview (WRI); Mini-Dips (to exclude other mental disorders)",A,0
20,Luo_2019,59,29,0.4828,26.51,5.41,0.3,25.05,2.79,,1,None: Bypassed statistical covariates due to closely matched age and gender profiles.,0,Unmedicated: Recruited unmedicated adults or those off medication; no active stimulant use.,1,None active: No active antidepressant or other psychotropic treatments reported.,1,None: Bypassed medication variables by focusing on drug-free adult cohorts.,0.0,clinical,"Social phobia (n=1), OCD (n=1), PTSD (n=1), dysthymia (n=2)","The Conners' Adult ADHD Diagnostic Interview for DSM-IV was used to confirm diagnoses and subtypes, and the Structured Clinical Interview for DSM-IV Axis I Disorders was used to screen for comorbidities",B,1
21,MacLaren_2007,40,20,0.45,20.6,3.3,0.55,20.0,2.6,,1,None: Relying on young-adult demographic matching; no age covariates utilized.,0,Unmedicated: Recruited undergraduate students; current prescription of stimulant medication was an exclusion criterion.,1,None active: 2 patients reported past psychiatric diagnoses but neither currently required treatment.,1,Exclusion: Strict exclusion of active stimulant and psychotropic medications.,,ADHD-traits + some had self-reported diagnosis,Not reported (undergraduate/community sample),"Barkley ADHD self-report questionnaire, the long form Conners Adult ADHD Rating Scale Self Report (CAARS-SR), and the Conners ADHD Rating Scale Other Report (CAARS-OR)",B,0
22,Markovska-Simoska_2016,117,67,0.4925,33.4,8.39,0.5,32.8,8.22,,1,None: Relied on matched cohorts; age was not included in the primary cognitive ICA-ANOVAs.,0,Washout: Stimulants withheld for 48 hours prior to recording.,1,None: Excluded any patient taking other active psychotropic substances.,1,Exclusion/Washout: Combined 48-hour stimulant washout with complete exclusion of other psychotropics.,,clinical,General psychiatric comorbidities permitted (except psychosis),Semi-structured Interview for Adults with ADHD (Barkley) and the Current and Childhood Symptoms Scale (Barkley),A,0
23,McLoughlin_2010,41,21,0.0,32.51,5.84,0.0,30.0,6.51,,1,Yes: Entered age as covariate in all initial repeated-measures ANOVAs; dropped only after confirming as non-significant.,1,Washout: Withheld stimulant medication for ≥ 48 hours prior to testing.,1,None: Exclusion criteria included taking any psychoactive medication other than stimulants.,1,Exclusion/Washout: Strict washout protocol combined with complete exclusion of non-stimulant psychotropics.,,clinical,None (pure ADHD cohort),"Clinical interview data for DSM-IV symptoms, the Barkley AD-ADHD rating scale for retrospective recall of childhood symptoms, and the Barkley AD-ADHD rating scale for current symptoms",B,0
24,Missonnier_2013,30,15,0.2,34.3,5.8,0.4,32.3,6.0,,1,Yes: Entered age and education level as statistical covariates in repeated ANCOVAs.,1,Washout: Stimulants withheld for 48 hours prior to EEG recording.,1,"None active: Comorbidities present (MDD: 47%, BD: 20%), but no active psychotropics reported.",1,Washout: Confirmed all patients were off stimulants for 48 hours; noted potential residual drug effects in discussion.,,clinical,"None current, but past diagnoses permitted: Major Depressive Disorder (47%), Bipolar Disorder (20%), Anxiety Disorders (27%), and past Drug Dependence (27%)","ASRS-1.1, WURS, Diagnostic Interview for Genetic Studies (DIGS)",B,0
25,Münger_2022,368,210,0.49,35.1,10.1,0.68,32.5,12.0,,0,Yes: Continuous baseline age (centered to sample mean) entered as a time-invariant covariate on intercept and slope in LGCM.,1,Washout: 73 patients (35%) used methylphenidate daily but were medication-free on the day of assessment.,1,Active non-stimulants: 39 patients (19%) used antidepressants daily; medication-free on the day of assessment.,0,Washout: Assessed off all medications on test days; latent models adjusted for baseline medication status covariates.,1.0,clinical,None (pure ADHD cohort),DSM-5 self reported questionnaire,C,1
26,Papp_2023,51,26,0.31,28.9,8.38,0.24,27.3,5.03,,1,Yes: Age and gender included as continuous independent covariates in all Hierarchical Linear Models.,1,Washout: 9 patients (34.6%) received methylphenidate; underwent a 24-hour washout.,1,"Active non-stimulants: 3 patients (11.5%) took antidepressants, 1 took anxiolytics. Non-stimulants included bupropion.",0,Covariated & Subtracted: Entered meds as covariate; ran sensitivity analyses (medicated vs. unmedicated vs. control) and excluded stimulant users.,1.0,clinical,Unipolar depression or anxiety disorders (n=11),CAARS long version; a structured interview for evaluating current and retrospective childhood DSM-IV-TR ADHD symptoms; SCL-90R (just to select controls),A,1
27,Prox_2007,24,12,0.25,31.8,10.84,0.25,31.6,,,1,None: Bypassed statistical covariates due to precise matching on demographic variables.,0,Washout: Pre-study treatment with stimulants stopped for at least 3 weeks prior (extended washout).,1,"None: Excluded current psychiatric diagnoses, drug abuse, head injuries, and other somatic disorders.",1,Exclusion/Washout: Combined an extended 3-week stimulant washout with strict psychiatric comorbidity exclusion.,,clinical,None (pure ADHD cohort),"Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) criteria, the German short-version of the Wender–Utah-Rating-Scale (WURS), Conners’ Adult ADHD Rating Scale (CAARS)",B,0
28,Rodriguez_2007,64,48,,,,,,,"The source does not provide the gender breakdown specifically for the ADHD group. However, for the overall sample of 64 participants, there were 34 females, which is approximately 53,1%,The age mean is not specified for the ADHD group alone. The overall sample mean age was 19,5 years. The age standard deviation is not specified for the ADHD group alone. The overall sample standard deviation was 1,94 ",0,None: No statistical age covariates included in the respond-to-target or suppress-to-target ANOVAs.,0,Washout: 9 medicated patients (Adderall or Ritalin) underwent a 12 to 24-hour washout.,1,None reported active: Medical questionnaire screened for other psychiatric disorders.,1,Sensitivity: Confirming results remained statistically identical after dropping the single patient who reported a 12-h washout.,,ADHD traits + some had self-reported diagnosis,Not reported (undergraduate symptom-stratified sample),The DSM-IV checklist for ADHD symptoms (also referred to as Barkley's checklist) was used,C,0
29,Shahaf_2012,26,13,,,,,,,,0,None: Relied on matched cohorts; age was not included in BNA cross-validation scores.,0,Washout: 6 of 13 patients on regular methylphenidate underwent a 24-hour washout.,1,"None: Comorbid disorders (depression, anxiety, substance abuse, learning disabilities) were excluded.",1,Washout: Combined a 24-hour washout with strict exclusion of comorbid psychiatric states.,,clinical,"None (pure ADHD cohort; shared cohort with Fisher et al., 2011)",CAARS,B,1
30,Shen_2014,24,12,0.0,22.4,2.5,0.0,23.6,3.2,,1,None: Non-clinical dimensional cohort; age matching validated as stable (p=n.s.).,0,Unmedicated: Dimensional non-clinical cohort; no stimulant use.,1,None: Participants were free of psychiatric comorbidities and medication.,1,None: Non-clinical population design bypassed pharmacological variables.,,ADHD-traits (impulsitivity),None (healthy adults split by impulsivity scores),"Adult ADHD Self-Report Scale (ASRS); Impulsiveness Scale (Li et al., 2002)",C,1
31,Smit_2023,70,27,0.78,30.0,7.3,0.67,32.0,12.1,,1,None: Omitted age covariates from final ERSP and theta-band connectivity models.,0,"Active (On-Meds): 13 patients took methylphenidate, 5 took dexamphetamine; 16 out of 18 tested on active daily dose.",0,Active non-stimulants: 1 patient took Pregabalin (ADHD group); 1 control took Citalopram (SSRI).,0,Controlled: Directly compared stimulant-users (n=16) against non-users (n=11) in the ADHD group; found no differences.,1.0,clinical + EF complaints and just EF complaints,Naturalistic sample with EF complaints; medication and subclinical symptoms permitted,BRIEF-A; BDI-II; self-report questionnaire on attention problems and hyperactivity for adulthood and childhood [ZVAH],B,1
32,Stroux_2016,81,40,0.475,30.15,9.15,0.439,32.24,9.36,,1,None: Age was non-significant between groups and omitted from final n-back EEG models.,0,Washout: Patients with active prescriptions underwent a 24-hour washout (methylphenidate).,1,None active: Excluded major depressive disorder and severe substance abuse; mild depression (n=4) kept but meds not specified.,1,Washout: Bypassed active stimulant confounds; mild comorbidities was assessed via SCID-I.,,clinical,"Mild depressive episodes, specific phobias, mild social phobia, GAD, somatoform disorder, binge eating disorder","Diagnostic Interview for ADHD in adults 2.0 (DIVA), 22-item ADHD self-report scale (ADHD-SR), and Wender Utah Rating Scale - German Short Version (WURS-K)",A,1
33,Taymourtash_2014,21,10,0.3,27.6,6.38,1.0,26.45,6.05,,1,None: Relied on demographic group-level matching.,0,Unmedicated: Strictly recruited outpatient volunteers who had no ongoing pharmacological treatment.,1,None: All participants were completely unmedicated and free of comorbidities.,1,None: Isolated a treatment-free clinical cohort to avoid medication-induced neuroplasticity confounds.,,clinical,None (pure ADHD cohort),self-report screening CAARS; ADHD RS-IV,B,0
34,White_2005,20,10,0.4,29.4,7.47,0.5,26.8,7.52,,1,None: Statistical control relied on balanced post-secondary demographic profiles.,0,Washout: Medicated patients underwent a 12-hour washout prior to testing.,1,None active: Participants with comorbid psychiatric disorders or learning disabilities were excluded.,1,Washout: Stimulants withheld for 12 hours; oral contraceptives were the only allowed medication exception.,,clinical,None (pure ADHD cohort),DSM-IV symptom checklist for ADHD; Health History questionnaire; a personal interview,C,0
35,Wiegand_2016,32,16,0.5625,30.0,9.8,0.625,30.4,9.8,,1,None: Statistical control relied on pair-matching demographics; age was not co-varied in ERP models.,0,Washout: 5 patients taking methylphenidate underwent a 24-hour washout.,1,Active non-stimulants: 2 patients on active selective serotonin re-uptake inhibitors (SSRIs) (not stopped).,0,Washout: Stimulants suspended for 24 hours; SSRIs continued for participant safety.,0.0,clinical,"Mild depression (n=5), moderate depression (n=2), dyslexia (n=3)","CAARS long version, WURS; SCID-I/II (exclusion diagnosis)",B,1
36,Wiersema_2007,38,19,0.0,32.1,12.3,0.0,31.2,11.0,,1,"Yes: Anxiety, depression, and antisocial scores used as covariates; age effects controlled via individual matching.",1,Washout: Withheld methylphenidate (47%) or other stimulants (5%) for 48 hours prior to testing.,1,Active non-stimulants: 21% of the ADHD sample were taking active antidepressant medication (SSRIs) (not stopped).,0,Washout & Covariated: Stimulants washed out; depression/anxiety scores systematically entered as covariates to control SSRI indications.,0.0,clinical,"Comorbid anxiety/depression diagnoses (42% of ADHD sample; syndrome scale). (Antisocial traits were questionnaire-based, not diagnosed)",The ADHD (DSM oriented) scale of the Adult Self-Report (ASR),C,0
37,Wiersema_2008,42,23,0.43479999999999996,29.3,11.0,0.4211,30.9,11.0,,1,None: Relied on matched cohorts; age was non-significant and not co-varied.,0,Washout: Withheld methylphenidate (48%) or dextroamphetamine (4%) for 48 hours prior to testing.,1,Active non-stimulants: 22% of the ADHD sample were taking active antidepressant medication (SSRIs) (not stopped).,0,Washout & Covariated: Stimulants washed out; depression/anxiety scores co-varied in supplementary analyses to rule out SSRI confounds.,0.0,clinical,None reported (recruited from self-support groups),The ADHD (DSM oriented) scale of the adult self-report (ASR) and the Wender Utah rating scale (WURS) used for retrospective diagnosis of childhood ADHD,B,1
38,Woltering_2013,83,54,0.48100000000000004,25.1,5.2,0.552,25.2,5.2,,1,None: No statistical age covariates used; primary focus on group matching.,0,Active (On-Meds): 20 used stimulants; active-treatment design (participants were not asked to stop/change treatment).,0,Active non-stimulants: 1 used antidepressants; 4 used a combination of stimulants and antidepressants (not stopped).,0,Covariated & Subtracted: Controlled for medication status as covariate in ANCOVAs; compared ADHD-no meds vs. ADHD-meds vs. controls.,1.0,clinical,None (college student cohort),Adult ADHD Self Report; Scale (ASRS v1.1); CFQ; Symptom Assessment-45,C,1
39,Zhao_2020,72,47,0.1702,18.56,0.85,0.24,19.6,1.22,,0,Yes: Entered age systematically as a statistical covariate across all behavioral and working memory ERP models.,1,Unmedicated: No participants received pharmaceutical treatments for ADHD in the month prior to assessment.,1,"None active: 12 patients had comorbidities (7 MDD, 1 OCD, 1 Social Phobia, 3 substance abuse), but none on active meds.",1,None: Bypassed active medication confounds; repeated analyses excluding comorbid cases to verify stability.,,clinical,"MDD (n=7), OCD (n=1), social phobia (n=1), substance abuse (n=3), and dysthymia (n=2)",Clinical Diagnostic Interview Scale (CDIS) was used for childhood diagnosis. The Chinese version of the Conner's Adult ADHD Diagnostic Interview (CAADI) was used for adult follow-up assessments,B,1
